Freq [GHz],"3.11117,3.65863,2.9958,3.357743.01181","3.2408,3.88729,3.05822,3.357743.13475","3.30562,3.96351,3.12063,3.357743.04255","3.37043,3.73485,3.18304,3.357743.07328","3.17598,3.81107,3.24546,3.357743.10401","3.30562,3.73485,2.9958,3.392013.13475","3.17598,3.65863,3.05822,3.392013.04255","3.37043,3.88729,3.12063,3.392013.10401","3.2408,3.81107,3.18304,3.392013.01181","3.11117,3.96351,3.24546,3.392013.07328","3.37043,3.81107,2.9958,3.426273.04255","3.11117,3.73485,3.05822,3.426273.10401","3.2408,3.65863,3.12063,3.426273.07328","3.17598,3.96351,3.18304,3.426273.13475","3.30562,3.88729,3.24546,3.426273.01181","3.17598,3.88729,2.9958,3.460533.07328","3.37043,3.96351,3.05822,3.460533.01181","3.11117,3.81107,3.12063,3.460533.13475","3.30562,3.65863,3.18304,3.460533.10401","3.2408,3.73485,3.24546,3.460533.04255","3.2408,3.96351,2.9958,3.49483.10401","3.30562,3.81107,3.05822,3.49483.07328","3.17598,3.73485,3.12063,3.49483.01181","3.11117,3.88729,3.18304,3.49483.04255","3.37043,3.65863,3.24546,3.49483.13475","3,4.1,3.5,3.33"
10.8,-1.430116026,-5.745128646,-18.56353158,-14.51561697,-3.917324703,-8.026261543,-8.749374947,-13.94718233,-4.110829673,-9.235367644,-5.161545713,-10.57949322,-25.05190552,-20.82745644,-3.991836329,-10.8813477,-2.100737966,-26.07926402,-23.92702234,-5.947435895,-7.490903824,-5.134648845,-2.035570358,-4.647089172,-23.72760703,-12.0779879
10.81,-2.499695371,-7.1139206,-32.14213341,-11.78987213,-4.185503158,-9.299641537,-13.64030582,-15.00523652,-5.643441105,-9.551429684,-5.865479187,-11.66916397,-34.89378806,-41.65828496,-4.573947683,-10.69701444,-2.234003072,-34.81360799,-24.29521778,-6.487561782,-7.492163764,-5.389315281,-2.167697197,-4.654851738,-27.30585566,-24.36256738
10.82,-4.376970699,-9.18971287,-28.57325952,-10.56414579,-4.672369002,-11.10325666,-21.63981465,-16.70351018,-7.380012154,-10.40976563,-6.493344961,-13.43779495,-44.72385521,-22.82760534,-5.079778012,-10.36290416,-2.358886861,-21.80247727,-24.38745675,-6.920011293,-7.599958141,-5.688901869,-2.279168696,-4.638793887,-35.89788897,-10.81199552
10.83,-7.531615586,-12.50608583,-23.12310271,-10.09310222,-5.42024094,-13.68765314,-43.60478863,-19.23907163,-9.176912982,-11.87961779,-7.044850516,-16.17050806,-41.59552133,-16.68002599,-5.498203394,-9.989712133,-2.483757919,-17.18812823,-24.57781776,-7.272039986,-7.841025498,-6.066783476,-2.379549341,-4.628508942,-35.40444058,-7.374930698
10.84,-12.73776645,-18.75531841,-21.88182365,-10.10145845,-6.509597304,-17.64660269,-24.53321242,-23.15561885,-10.86165317,-14.18644461,-7.537543589,-20.67028503,-47.32355961,-13.46584868,-5.835836658,-9.6562528,-2.618304604,-14.5772512,-25.19154401,-7.58330735,-8.246849415,-6.562473579,-2.480133503,-4.648656053,-25.20449057,-5.907410997
10.85,-23.07193987,-40.12973037,-22.56291254,-10.4699396,-8.07734195,-25.1758133,-21.26407583,-30.51033115,-12.26961183,-17.92336391,-8.002018006,-30.8956611,-41.0639667,-11.44548784,-6.112675666,-9.414144972,-2.773410692,-12.93193574,-26.59572608,-7.899107345,-8.859712251,-7.22705367,-2.593175751,-4.720403527,-20.21842916,-5.254938006
10.86,-26.64743421,-17.69248753,-25.03928267,-11.14655798,-10.36896756,-34.13963534,-20.6179755,-41.88670927,-13.28803429,-25.35991125,-8.47737765,-29.47229682,-33.46794937,-10.09044731,-6.356609847,-9.297453743,-2.96152417,-11.87652653,-29.46814325,-8.267190084,-9.741368653,-8.132716153,-2.731909847,-4.863940469,-16.87129646,-5.052105661
10.87,-18.33029925,-12.40970792,-30.76277741,-12.11391352,-13.91454079,-21.24862409,-21.42279803,-27.50722644,-13.89178491,-33.82408967,-9.008789415,-20.9361783,-29.52397448,-9.163499551,-6.599012475,-9.332017918,-3.197547545,-11.23154179,-35.61968635,-8.738560017,-10.98844796,-9.391085036,-2.911331468,-5.101594631,-14.39373373,-5.165413692
10.88,-15.82194045,-9.532882063,-48.87222095,-13.37606967,-20.44155973,-16.64692504,-23.55276879,-22.89942315,-14.14516843,-20.86751554,-9.648069564,-17.1744678,-27.33483004,-8.536066205,-6.872453652,-9.543229062,-3.500343523,-10.89839905,-35.09504367,-9.372236974,-12.76592668,-11.19442804,-3.149767173,-5.461651343,-12.49034471,-5.558686457
10.89,-15.08068773,-7.705183169,-28.47914602,-14.95480353,-39.79869135,-13.98818037,-27.57254819,-20.36718513,-14.16689708,-16.21979984,-10.4580494,-14.97545462,-26.32637313,-8.130230625,-7.210637006,-9.962911757,-3.895092186,-10.81823775,-26.80118171,-10.24503472,-15.39791572,-13.93215252,-3.471439767,-5.983523268,-11.0160469,-6.253055091
10.9,-15.34584125,-6.463119897,-22.89508992,-16.89303814,-19.26747791,-12.22557147,-36.60258766,-18.80637933,-14.08586584,-13.54822752,-11.5225551,-13.59589862,-26.34604227,-7.894705129,-7.650331202,-10.63689802,-4.416994113,-10.95278742,-21.90385491,-11.4707677,-19.70664901,-18.66631638,-3.910583991,-6.725759317,-9.889222996,-7.320642682
